Study_Area,Area,CreationDate,WTD__Female,WTD__Male__Mature,WTD__Male__Middle,WTD__Male__Young,WTD__Fawn,WTD__Unknown,Direction,WTD_Distance,WTD__Male__Unkown,Long_snapped,Lat_snapped,TransectID,Flight_Path,Transect_Length
La Copita Ranch,2710,2/9/2024 0:00,0,0,1,0,0,0,9,60,0,-98.20748415,27.657231589999999,5,S2N,4683.327083
La Copita Ranch,2710,2/9/2024 0:00,2,0,0,0,0,0,8,70,0,-98.19743,27.665340000000000,1,S2N,2934.957693
La Copita Ranch,2710,2/9/2024 0:00,1,0,0,0,0,0,8,70,0,-98.19961367,27.679540169999999,2,N2S,4971.968729
La Copita Ranch,2710,2/9/2024 0:00,1,0,0,0,0,0,4,100,0,-98.19957317,27.678586830000000,2,N2S,4972.968729
La Copita Ranch,2710,2/9/2024 0:00,1,0,0,0,0,0,11,50,0,-98.19928283,27.672262000000000,2,N2S,4973.968729
La Copita Ranch,2710,2/9/2024 0:00,1,0,0,0,0,0,3,50,0,-98.199423,27.667068000000000,2,N2S,4974.968729
La Copita Ranch,2710,2/9/2024 0:00,2,0,0,0,0,0,10,60,0,-98.19933683,27.666034669999998,2,N2S,4975.968729
La Copita Ranch,2710,2/9/2024 0:00,3,0,0,0,0,1,9,15,0,-98.199341,27.664016170000000,2,N2S,4976.968729
La Copita Ranch,2710,2/9/2024 0:00,0,0,0,0,0,1,3,60,0,-98.19968467,27.657321169999999,2,N2S,4977.968729
La Copita Ranch,2710,2/9/2024 0:00,0,0,0,1,0,0,3,40,0,-98.19966983,27.658277330000001,2,N2S,4978.968729
La Copita Ranch,2710,2/9/2024 0:00,0,0,1,0,0,0,2,10,0,-98.20141333,27.659859500000000,3,S2N,4984.758635
La Copita Ranch,2710,2/9/2024 0:00,2,0,0,0,0,0,8,60,0,-98.20186383,27.664308330000001,3,S2N,4985.758635
La Copita Ranch,2710,2/9/2024 0:00,1,0,0,0,1,0,4,60,0,-98.20247417,27.690318500000000,3,S2N,4986.758635
