"","SiteID","Lat","Long","woody_prp","herb_prp","open_prp","woody_mnParea","herb_mnParea","woody_ClmIdx","herb_ClmIdx","woody_ShpInx","herb_ShpInx","woody_lrgPInx","herb_lrgPInx","woody_AggInx","herb_AggInx","woody_EdgDens","herb_EdgDens","woody_Pdens","herb_Pdens","woody_Npatches","herb_Npatches"
"1","Site 1",27.68608,-98.21182,0.642451899614782,0.323803590526327,0.357548100385218,0.0157932494249971,0.00346349930003131,0.832136749470686,0.791512105149086,1.33402368819141,1.31935861716313,52.6817135037196,13.15698691698,93.9933532278841,85.9045071167108,2583.43624271837,3047.76654960382,4066.10581734252,9352.33114392298,1413,3250
"2","Site 2",27.68605,-98.20509,0.642560477465148,0.331883134008801,0.357439522534852,0.0125254769706236,0.00423224696866425,0.817942754531459,0.777968614791696,1.34686517517429,1.32577321652063,41.9544552321992,20.6476382276037,93.4944501921491,85.1628534069083,2785.02938282107,3294.27078468514,5130.85932415713,7838.7329214829,1783,2724
"3","Site 3",27.68602,-98.1984,0.554204807868025,0.403765803332613,0.445795192131975,0.00856054786375033,0.00563128229046107,0.813556744069426,0.75042060497199,1.35265920737821,1.33917420679936,19.4120968201431,33.9903345609373,91.6942604856512,85.1126011739066,3063.9509937117,4019.34111137154,6477.58185320828,7165.33932229614,2251,2490
"4","Site 4",27.68121,-98.21185,0.580998927414071,0.404040938933208,0.419001072585929,0.0113137419052677,0.00542552180291671,0.836880337593884,0.814141092899728,1.33340905395752,1.31420908670268,19.042463922759,32.6028447409587,93.167643656823,88.9210154151665,2646.04411051103,2995.09291718772,5136.6252773078,7444.50957557159,1785,2587
"5","Site 5",27.68118,-98.20512,0.581077474989227,0.367327909789894,0.418922525010773,0.0103427103436666,0.00562857733655095,0.830736223725014,0.750171166580779,1.3407881566356,1.31352883162855,18.9290069005098,32.711482858537,92.9123705590777,84.1905504756979,2743.52492377486,3881.29923092573,5620.06654007685,6523.65122701189,1953,2267
"6","Site 6",27.68115,-98.19844,0.727305481488865,0.245551845298911,0.267745894490269,0.0231220142982339,0.00331113408989402,0.839535961970108,0.793464575159077,1.33637064813858,1.32963594171753,54.8147894918404,10.988006924222,95.623185181382,84.4177394465935,2124.16008867625,2560.34255329903,3145.22832169863,7415.60236506622,1093,2577
"7","Site 7",27.67634,-98.21189,0.561724754486118,0.419322549897101,0.438275245513881,0.00829365728871301,0.0061159349027863,0.848108619232116,0.820213300942696,1.31841304498883,1.30609159789231,32.1798738007602,31.6869695296483,93.3442459190899,89.5583174209133,2494.59831368978,2928.72976256863,6773.95135359437,6854.52511650883,2354,2382
"8","Site 8",27.67631,-98.20516,0.527802178404926,0.421854655328162,0.472197821595074,0.00838563125315709,0.00632414542248821,0.832990757321889,0.757073419611443,1.33012034102288,1.29842907365706,6.69325598259608,36.693773956283,92.1168454020662,85.9505992996892,2773.2137672969,3962.13599944019,6296.257522289,6667.47197401445,2188,2317
"9","Site 9",27.67628,-98.19848,0.701473165707261,0.272921910173025,0.293660237401048,0.0206521640422148,0.00291972203423358,0.826439305635311,0.782104283664064,1.32635688875957,1.31875467577994,62.5664942520996,10.2567157252237,94.8150372203299,84.1602600043714,2431.19035104039,2887.72808751339,3395.57340357665,9352.21488273229,1180,3250
"10","Site 10",27.67147,-98.21192,0.611804370127632,0.382822266801234,0.388195629872368,0.0116950502583114,0.00576307316153491,0.814574379670053,0.805437027880552,1.35937094040599,1.34982092009479,45.4336657788331,13.9503828458537,92.8026841586828,87.9909940927538,2936.39462561299,3074.12796245064,5231.69107400284,6641.77282662187,1818,2308
