"","Study_Area","Area_ha","segT_ID","sgT_lgh_m","Flight_Path","Date","Female","Fawn","Male_Young","Male_Middle","Male_Mature","Male_Unkown","Males","Unknown","Direction_clock","Detection_Distance","Survey_Time","Degree","Perpendicular_Distance","Group_size"
"1","La Copita Ranch",1096.698,"10.1",1231.58589384674,"N2S","9/8/2023",0,0,0,1,0,0,1,0,1,40,"Evening",210,20,1
"2","La Copita Ranch",1096.698,"8.2",1208.65375146572,"N2S","9/8/2023",0,0,2,0,0,0,2,0,1,20,"Evening",210,10,2
"3","La Copita Ranch",1096.698,"7.2",1196.70674074354,"S2N","9/8/2023",2,0,0,0,0,0,0,0,2,25,"Evening",60,22,2
"4","La Copita Ranch",1096.698,"7.3",1196.70674074354,"S2N","9/8/2023",1,0,0,0,0,0,0,0,3,50,"Evening",90,50,1
"5","La Copita Ranch",1096.698,"6.3",1183.8415588551,"N2S","9/8/2023",0,0,0,1,0,0,1,0,2,50,"Evening",240,43,1
"6","La Copita Ranch",1096.698,"6.2",1183.8415588551,"N2S","9/8/2023",1,1,0,0,0,0,0,0,2,20,"Evening",240,17,2
"7","La Copita Ranch",1096.698,"5.3",1170.83177082331,"S2N","9/8/2023",1,0,0,0,0,0,0,0,4,20,"Evening",120,17,1
"8","La Copita Ranch",1096.698,"5.3",1170.83177082331,"S2N","9/8/2023",0,1,0,0,0,0,0,0,2,40,"Evening",60,35,1
"9","La Copita Ranch",1096.698,"4.3",1246.54810097276,"N2S","9/8/2023",1,1,0,0,0,0,0,0,12,60,"Evening",180,0,2
"10","La Copita Ranch",1096.698,"3.2",1246.18965872607,"S2N","9/8/2023",0,1,0,0,0,0,0,0,4,15,"Evening",120,13,1
"11","La Copita Ranch",1096.698,"3.3",1246.18965872607,"S2N","9/8/2023",1,1,0,0,0,0,0,0,2,60,"Evening",60,52,2
"12","La Copita Ranch",1096.698,"2.3",1242.99218221617,"N2S","9/8/2023",0,0,1,0,0,0,1,0,3,15,"Evening",270,15,1
"13","La Copita Ranch",1096.698,"2.1",1242.99218221617,"N2S","9/8/2023",1,0,0,0,0,0,0,0,12,0,"Evening",180,0,1
"14","La Copita Ranch",1096.698,"1.1",1467.47884639429,"S2N","9/8/2023",2,0,0,0,0,0,0,2,3,5,"Evening",90,5,4
