"","Study_Area","Area_ha","Transect_ID","Transect_Length_km","Flight_Path","Date","Female","Fawn","Male_Young","Male_Middle","Male_Mature","Male_Unkown","Unknown","Direction_clock","Detection_Distance","Survey_Time","Degree","Perpendicular_Distance","Group_size","Males"
"1","La Copita Ranch",1096.698,10,1.25,"N2S","9/8/2023",0,0,0,1,0,0,0,1,40,"Evening",210,20,1,1
"2","La Copita Ranch",1096.698,8,4.84,"N2S","9/8/2023",0,0,2,0,0,0,0,1,20,"Evening",210,10,2,2
"3","La Copita Ranch",1096.698,7,4.79,"S2N","9/8/2023",2,0,0,0,0,0,0,2,25,"Evening",60,22,2,0
"4","La Copita Ranch",1096.698,7,4.79,"S2N","9/8/2023",1,0,0,0,0,0,0,3,50,"Evening",90,50,1,0
"5","La Copita Ranch",1096.698,6,4.74,"N2S","9/8/2023",0,0,0,1,0,0,0,2,50,"Evening",240,43,1,1
"6","La Copita Ranch",1096.698,6,4.74,"N2S","9/8/2023",1,1,0,0,0,0,0,2,20,"Evening",240,17,2,0
"7","La Copita Ranch",1096.698,5,4.68,"S2N","9/8/2023",1,0,0,0,0,0,0,4,20,"Evening",120,17,1,0
"8","La Copita Ranch",1096.698,5,4.68,"S2N","9/8/2023",0,1,0,0,0,0,0,2,40,"Evening",60,35,1,0
"9","La Copita Ranch",1096.698,4,4.99,"N2S","9/8/2023",1,1,0,0,0,0,0,12,60,"Evening",180,0,2,0
"10","La Copita Ranch",1096.698,3,4.99,"S2N","9/8/2023",0,1,0,0,0,0,0,4,15,"Evening",120,13,1,0
"11","La Copita Ranch",1096.698,3,4.99,"S2N","9/8/2023",1,1,0,0,0,0,0,2,60,"Evening",60,52,2,0
"12","La Copita Ranch",1096.698,2,4.99,"N2S","9/8/2023",0,0,1,0,0,0,0,3,15,"Evening",270,15,1,1
"13","La Copita Ranch",1096.698,2,4.99,"N2S","9/8/2023",1,0,0,0,0,0,0,12,0,"Evening",180,0,1,0
