"","Study_Area","Area_ha","Unique_ID","Transect_ID","Transect_Length_km","Date","Distance","Group_size","Survey_Time","Ground","Med_Veg","High_veg"
"34","La Copita Ranch",1096.698,"9.8.2023_1.1",1,2.94,"9/8/2023",4.99838706317804,4,"Evening",0.290300593006612,0.380205848272101,0.104491854679299
"35","La Copita Ranch",1096.698,"9.8.2023_1.2",1,2.94,"9/8/2023",17.3149136061728,1,"Evening",0.4610071078186,0.247271999199119,0.0306336970667734
"36","La Copita Ranch",1096.698,"9.8.2023_1.3",1,2.94,"9/8/2023",8.65745146434166,2,"Evening",0.342810231593502,0.225717248530937,0.00380228136882129
"37","La Copita Ranch",1096.698,"9.8.2023_1.4",1,2.94,"9/8/2023",9.99677412111447,2,"Evening",0.289108910891089,0.416114714919768,0.105496756572209
"1","La Copita Ranch",1096.698,"9.8.2023_10.1",10,1.25,"9/8/2023",19.993463479479,1,"Evening",0.337866687752036,0.372499406973986,0.00458606784217601
"2","La Copita Ranch",1096.698,"9.8.2023_10.2",10,1.25,"9/8/2023",59.9803896564645,1,"Evening",0.228829406421969,0.510284767858097,0.046802372175028
"38","La Copita Ranch",1096.698,"9.8.2023_12.1",12,1.25,"9/8/2023",89.9705020841721,1,"Evening",0.179551482999759,0.509573185435254,0.00125391849529781
"30","La Copita Ranch",1096.698,"9.8.2023_2.1",2,4.99,"9/8/2023",14.995153518222,1,"Evening",0.369057689054306,0.318727795635256,0.0927085095584503
"31","La Copita Ranch",1096.698,"9.8.2023_2.2",2,4.99,"9/8/2023",0.000000000116415321826935,1,"Evening",0.437488576128678,0.209650886492415,0.100804240541035
"32","La Copita Ranch",1096.698,"9.8.2023_2.3",2,4.99,"9/8/2023",4.99841667432276,1,"Evening",0.379386174586481,0.289798259871881,0.0266755904006119
"33","La Copita Ranch",1096.698,"9.8.2023_2.4",2,4.99,"9/8/2023",59.9806187697588,1,"Evening",0.47197142573668,0.232761186625657,0.0379005853755333
"23","La Copita Ranch",1096.698,"9.8.2023_3.1",3,4.99,"9/8/2023",12.9861615999159,1,"Evening",0.280643274853801,0.367251461988304,0.172865497076023
"24","La Copita Ranch",1096.698,"9.8.2023_3.2",3,4.99,"9/8/2023",51.9446695641144,2,"Evening",0.424445686603317,0.266349916154276,0.00950251537171604
"25","La Copita Ranch",1096.698,"9.8.2023_3.3",3,4.99,"9/8/2023",56.5501823633807,2,"Evening",0.590882318294263,0.11850630227353,0.000353398515726234
"26","La Copita Ranch",1096.698,"9.8.2023_3.4",3,4.99,"9/8/2023",0.00000000023283064365387,2,"Evening",0.286856700632013,0.469495679091964,0.0558493486392364
