Study_Area,Area_ha,Transect_ID,Transect_Length_km,Flight_Path,Latitude,Longitude,Date,Female,Fawn,Male_Young,Male_Middle,Male_Mature,Male_Unkown,Unknown,Direction_clock,Detection_Distance,Survey_Time,Survey_Season
La Copita Ranch,1096.698,10,1.25,N2S,-98.220239,27.650883,9/8/2023,0,0,0,1,0,0,0,1,40,Evening,Fall
La Copita Ranch,1096.698,8,4.84,N2S,-98.21459517,27.665732,9/8/2023,0,0,2,0,0,0,0,1,20,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.2121095,27.663607,9/8/2023,2,0,0,0,0,0,0,2,25,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.2123045,27.66774817,9/8/2023,1,0,0,0,0,0,0,3,50,Evening,Fall
La Copita Ranch,1096.698,6,4.74,N2S,-98.2095595,27.66771233,9/8/2023,0,0,0,1,0,0,0,2,50,Evening,Fall
La Copita Ranch,1096.698,6,4.74,N2S,-98.20929133,27.658922,9/8/2023,1,1,0,0,0,0,0,2,20,Evening,Fall
La Copita Ranch,1096.698,5,4.68,S2N,-98.20723833,27.66820033,9/8/2023,1,0,0,0,0,0,0,4,20,Evening,Fall
La Copita Ranch,1096.698,5,4.68,S2N,-98.20698667,27.6735695,9/8/2023,0,1,0,0,0,0,0,2,40,Evening,Fall
La Copita Ranch,1096.698,4,4.99,N2S,-98.20469983,27.67817267,9/8/2023,1,1,0,0,0,0,0,12,60,Evening,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.20203767,27.65731917,9/8/2023,0,1,0,0,0,0,0,4,15,Evening,Fall
La Copita Ranch,1096.698,3,4.99,S2N,-98.201841,27.674287,9/8/2023,1,1,0,0,0,0,0,2,60,Evening,Fall
La Copita Ranch,1096.698,2,4.99,N2S,-98.19995533,27.67477917,9/8/2023,0,0,1,0,0,0,0,3,15,Evening,Fall
La Copita Ranch,1096.698,2,4.99,N2S,-98.19957017,27.65634217,9/8/2023,1,0,0,0,0,0,0,12,0,Evening,Fall
La Copita Ranch,1096.698,1,2.94,S2N,-98.19689883,27.67174783,9/8/2023,2,0,0,0,0,0,2,3,5,Evening,Fall
La Copita Ranch,1096.698,1,2.94,S2N,-98.19677517,27.68015083,9/8/2023,1,0,0,0,0,0,0,2,20,Evening,Fall
La Copita Ranch,1096.698,1,2.94,S2N,-98.19709467,27.68498117,9/8/2023,1,1,0,0,0,0,0,2,10,Evening,Fall
La Copita Ranch,1096.698,10,1.25,N2S,-98.2198965,27.64914517,9/8/2023,0,0,0,1,0,0,0,9,60,Evening,Fall
La Copita Ranch,1096.698,8,4.84,N2S,-98.2149155,27.685292,9/8/2023,0,0,0,1,0,0,0,9,15,Evening,Fall
La Copita Ranch,1096.698,8,4.84,N2S,-98.21456283,27.66783983,9/8/2023,2,1,0,0,0,0,0,12,0,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.212018,27.66252467,9/8/2023,0,0,0,2,0,0,0,9.5,60,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.21236267,27.66525133,9/8/2023,1,0,0,0,0,0,0,11,15,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.21220783,27.6688,9/8/2023,1,0,0,0,0,0,0,9,20,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.21191167,27.67139317,9/8/2023,1,0,0,0,0,0,0,10,40,Evening,Fall
La Copita Ranch,1096.698,7,4.79,S2N,-98.21225333,27.67850467,9/8/2023,0,1,0,0,0,0,0,11,40,Evening,Fall
La Copita Ranch,1096.698,6,4.74,N2S,-98.20991567,27.68612833,9/8/2023,1,1,0,0,0,0,0,10.5,40,Evening,Fall
La Copita Ranch,1096.698,5,4.68,S2N,-98.206961,27.66218967,9/8/2023,1,2,0,0,0,0,0,12,0,Evening,Fall
La Copita Ranch,1096.698,5,4.68,S2N,-98.20706167,27.6768905,9/8/2023,1,0,0,0,0,0,0,10,35,Evening,Fall
La Copita Ranch,1096.698,4,4.99,N2S,-98.204608,27.68040517,9/8/2023,0,0,0,1,0,0,0,11,40,Evening,Fall
