OBJECTID,GlobalID,Speed..km.h.,Direction.of.travel....,Compass.reading....,Position.source.type,Receiver.Name,Horizontal.Accuracy..m.,Vertical.Accuracy..m.,Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix.Type,Correction.Age,Station.ID,Number.of.Satellites,Fix.Time,Average.Horizontal.Accuracy..m.,Average.Vertical.Accuracy..m.,Averaged.Positions,Standard.Deviation..m.,CreationDate,Creator,EditDate,Editor,Date.and.Time,WTD..Female,WTD..Male..Mature,WTD..Male..Middle,WTD..Male..Young,WTD..Fawn,WTD..Unknown,WTD.Notes,Transect.OID,WTD.moving.into.next.transect.,Direction,WTD_Distance,x,y,date,angle.degrees,angle.radians,distance,Group.size,All.Males,Area,Transect.Number,Transect.Length,Flight.Path
25,c0d68ce7-409f-41d3-af18-52bac9356e6c,48.35572,172.19,197.4261298,2,Cedar CT8X2,4.049691346,7.4,27.650883,-98.220239,79.5,1.269999981,0.569999993,1.129999995,1,NA,NA,21,9/8/2023 22:43,NA,NA,NA,NA,9/8/2023 22:43,davepearce@tamu.edu_tamu,9/8/2023 22:43,davepearce@tamu.edu_tamu,,0,0,1,0,0,0,,NA,No,1,40,-98.220239,27.650883,9/8/2023,30,0.523598776,20,1,1,2710,10,1.25,N2S
26,c4214444-572c-4256-b707-9f99b56b759b,56.697128,182.63,201.4140587,2,Cedar CT8X2,3.201562119,6.1,27.665732,-98.21459517,86.7,1.019999981,0.50999999,0.879999995,2,NA,0,24,9/8/2023 22:50,NA,NA,NA,NA,9/8/2023 22:51,davepearce@tamu.edu_tamu,9/8/2023 22:51,davepearce@tamu.edu_tamu,,0,0,0,2,0,0,,NA,No,1,20,-98.21459517,27.665732,9/8/2023,30,0.523598776,10,2,2,2710,8,4.84,N2S
27,ffcc741d-4ce3-43d6-ace0-07330ff71ab5,54.474728,353.65,359.7689004,2,Cedar CT8X2,3.140063694,4.2,27.663607,-98.2121095,77.5,0.959999979,0.50999999,0.829999983,1,NA,NA,26,9/8/2023 22:55,NA,NA,NA,NA,9/8/2023 22:56,davepearce@tamu.edu_tamu,9/8/2023 22:56,davepearce@tamu.edu_tamu,,2,0,0,0,0,0,,NA,No,2,25,-98.2121095,27.663607,9/8/2023,60,1.047197551,21.65063509,2,0,2710,7,4.79,S2N
28,1e52adc2-649f-46e2-806c-6bcd61e75771,59.369564,5.22,354.1097951,2,Cedar CT8X2,3.220248438,4.6,27.66774817,-98.2123045,81.9,0.980000019,0.50999999,0.839999974,1,NA,NA,25,9/8/2023 22:56,NA,NA,NA,NA,9/8/2023 22:56,davepearce@tamu.edu_tamu,9/8/2023 22:56,davepearce@tamu.edu_tamu,,1,0,0,0,0,0,,NA,No,3,50,-98.2123045,27.66774817,9/8/2023,90,1.570796327,50,1,0,2710,7,4.79,S2N
29,e775ef9f-b34a-4b47-8bc7-c51a49b969e6,55.68964,184.79,196.5696104,2,Cedar CT8X2,2.780287755,5.5,27.66771233,-98.2095595,82.8,1.25999999,0.610000014,1.100000024,1,NA,NA,22,9/8/2023 23:01,NA,NA,NA,NA,9/8/2023 23:01,davepearce@tamu.edu_tamu,9/8/2023 23:01,davepearce@tamu.edu_tamu,,0,0,1,0,0,0,,NA,No,2,50,-98.2095595,27.66771233,9/8/2023,60,1.047197551,43.30127019,1,1,2710,6,4.74,N2S
30,7164c302-3dad-4d8c-9185-d2035c0529cc,58.87508,175.94,187.9682986,2,Cedar CT8X2,3,5.7,27.658922,-98.20929133,91.1,1.190000057,0.569999993,1.049999952,1,NA,NA,23,9/8/2023 23:02,NA,NA,NA,NA,9/8/2023 23:02,davepearce@tamu.edu_tamu,9/8/2023 23:02,davepearce@tamu.edu_tamu,,1,0,0,0,1,0,,NA,No,2,20,-98.20929133,27.658922,9/8/2023,60,1.047197551,17.32050808,2,0,2710,6,4.74,N2S
31,12ff18e9-e903-46ea-a0d9-48255eacdcb1,58.043532,4.88,352.5803851,2,Cedar CT8X2,5.080354318,6.4,27.66820033,-98.20723833,72.8,1.159999967,0.610000014,0.99000001,1,NA,NA,21,9/8/2023 23:07,NA,NA,NA,NA,9/8/2023 23:07,davepearce@tamu.edu_tamu,9/8/2023 23:07,davepearce@tamu.edu_tamu,,1,0,0,0,0,0,,NA,No,4,20,-98.20723833,27.66820033,9/8/2023,120,2.094395102,17.32050808,1,0,2710,5,4.68,S2N
32,eaf62ca0-c9ac-4ab3-ac25-525bb198fcb2,58.400968,3.33,354.7936956,2,Cedar CT8X2,4.701063709,6.3,27.6735695,-98.20698667,75,1.149999976,0.600000024,0.980000019,1,NA,NA,20,9/8/2023 23:07,NA,NA,NA,NA,9/8/2023 23:08,davepearce@tamu.edu_tamu,9/8/2023 23:08,davepearce@tamu.edu_tamu,,0,0,0,0,1,0,,NA,No,2,40,-98.20698667,27.6735695,9/8/2023,60,1.047197551,34.64101615,1,0,2710,5,4.68,S2N
33,af5c2277-0cfa-449e-b3e9-5cb6c157b219,54.79142,180.96,188.9595776,2,Cedar CT8X2,3.858756276,7.3,27.67817267,-98.20469983,81.9,1.309999943,0.610000014,1.159999967,1,NA,NA,21,9/8/2023 23:11,NA,NA,NA,NA,9/8/2023 23:12,davepearce@tamu.edu_tamu,9/8/2023 23:12,davepearce@tamu.edu_tamu,,1,0,0,0,1,0,,NA,No,12,60,-98.20469983,27.67817267,9/8/2023,0,0,60,2,0,2710,4,4.99,N2S
34,2bf1d061-e9e0-4995-9bd6-a73631d21c29,50.668868,357.68,352.7558903,2,Cedar CT8X2,4.924428901,5.9,27.65731917,-98.20203767,75.2,1.159999967,0.589999974,1,1,NA,NA,21,9/8/2023 23:17,NA,NA,NA,NA,9/8/2023 23:17,davepearce@tamu.edu_tamu,9/8/2023 23:17,davepearce@tamu.edu_tamu,,0,0,0,0,1,0,,NA,No,4,15,-98.20203767,27.65731917,9/8/2023,120,2.094395102,12.99038106,1,0,2710,3,4.99,S2N
