OBJECTID,GlobalID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),CreationDate,Creator,EditDate,Editor,Date and Time,"WTD, Female","WTD, Male, Mature","WTD, Male, Middle","WTD, Male, Young","WTD, Fawn","WTD, Unknown",WTD Notes,Transect OID,WTD moving into next transect?,Direction,WTD_Distance,"WTD, Male, Unkown",Date Filter,x,y
120,515ac179-dae5-44df-901b-96df0624ff93,,,,1,,,,,,,,,,,,,,,,,,,2/9/2024 22:08,davepearce@tamu.edu_tamu,2/9/2024 22:08,davepearce@tamu.edu_tamu,,0,0,1,0,0,0,,,No,9,60,0,,-98.20748415,27.65723159
121,b1a3d0b7-6529-43f0-b214-26db25e96e72,,,,1,,,,,,,,,,,,,,,,,,,2/9/2024 22:09,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:09,abigail.dwelle@tamu.edu_tamu,,2,0,0,0,0,0,,,No,8,70,0,,-98.19534351,27.66192776
122,98cfaa17-bc4e-43a6-8363-f038d14e998e,55.521108,181.21,164.1728584,2,Cedar CT8X2,2.051828453,2.6,27.67954017,-98.19961367,72.2,1.039999962,0.610000014,0.839999974,1,,,24,2/9/2024 22:11,,,,,2/9/2024 22:12,davepearce@tamu.edu_tamu,2/9/2024 22:12,davepearce@tamu.edu_tamu,,1,0,0,0,0,0,,,No,8,70,0,,-98.19961367,27.67954017
123,c639b04f-dfc5-42e3-b0b1-b536df31ceaa,54.093216,177.73,165.3921838,2,Cedar CT8X2,2.973213749,3.8,27.67858683,-98.19957317,75.3,1.039999962,0.610000014,0.839999974,2,,0,24,2/9/2024 22:11,,,,,2/9/2024 22:12,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:12,abigail.dwelle@tamu.edu_tamu,,1,0,0,0,0,0,,,No,4,100,0,,-98.19957317,27.67858683
124,f1e733f9-1929-4000-8f40-a7ca8ffa54ae,53.070912,184.09,169.9497915,2,Cedar CT8X2,2.051828453,2.6,27.672262,-98.19928283,68.5,1.039999962,0.610000014,0.839999974,2,,0,24,2/9/2024 22:12,,,,,2/9/2024 22:12,davepearce@tamu.edu_tamu,2/9/2024 22:12,davepearce@tamu.edu_tamu,,1,0,0,0,0,0,,,No,11,50,0,,-98.19928283,27.672262
125,ba81c313-94c2-4071-bc6d-755887a48726,45.455488,173.62,155.9870406,2,Cedar CT8X2,3.041381265,3.9,27.667068,-98.199423,68.4,1.039999962,0.620000005,0.839999974,2,,0,24,2/9/2024 22:13,,,,,2/9/2024 22:13,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:13,abigail.dwelle@tamu.edu_tamu,,1,0,0,0,0,0,,,No,3,50,0,,-98.199423,27.667068
126,62062fff-2e6e-4bd0-843f-d73ec9c0bcbd,45.81848,176.48,157.6414627,2,Cedar CT8X2,2.549509757,2.7,27.66603467,-98.19933683,66.4,1.039999962,0.610000014,0.839999974,2,,0,24,2/9/2024 22:13,,,,,2/9/2024 22:13,davepearce@tamu.edu_tamu,2/9/2024 22:13,davepearce@tamu.edu_tamu,,2,0,0,0,0,0,,,No,10,60,0,,-98.19933683,27.66603467
127,71ae81cd-e834-440b-8408-418ae287001a,42.384872,178.53,160.8294262,2,Cedar CT8X2,2.26715681,2.6,27.66401617,-98.199341,77.6,1.039999962,0.610000014,0.839999974,2,,0,24,2/9/2024 22:13,,,,,2/9/2024 22:14,davepearce@tamu.edu_tamu,2/9/2024 22:14,davepearce@tamu.edu_tamu,,3,0,0,0,0,1,,,No,9,15,0,,-98.199341,27.66401617
128,0c9fc4ed-b2c1-4fdd-b790-196324bb28ca,40.810672,175.68,155.7881046,2,Cedar CT8X2,1.984943324,2.6,27.65732117,-98.19968467,68.3,1.100000024,0.680000007,0.870000005,2,,0,23,2/9/2024 22:14,,,,,2/9/2024 22:15,davepearce@tamu.edu_tamu,2/9/2024 22:15,davepearce@tamu.edu_tamu,,0,0,0,0,0,1,,,No,3,60,0,,-98.19968467,27.65732117
129,5eb64c9b-e4b8-4363-8c20-c573165f1c26,44.451704,183.13,164.8601667,2,Cedar CT8X2,2.973213749,3.8,27.65827733,-98.19966983,71.2,1.039999962,0.610000014,0.839999974,2,,0,24,2/9/2024 22:14,,,,,2/9/2024 22:15,abigail.dwelle@tamu.edu_tamu,2/9/2024 22:15,abigail.dwelle@tamu.edu_tamu,,0,0,0,1,0,0,,,No,3,40,0,,-98.19966983,27.65827733
